algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
Decision Tree,2.1,24,19,2340,8169,0.010598817740933568,1.4276058673858643,0.0521888047890388,1.515030860900879,0.0597668142432588,1.449186086654663,float64,0.9461615154536391,0.8174603174603174,0.7686567164179104,0.7923076923076923
KNN,2.1,61,8,3509,8169,0.011472297170117125,1.4425489902496338,0.010173794841153341,1.4478421211242676,0.21358713352998016,1.672795057296753,float64,0.9222591362126246,0.717948717948718,0.693069306930693,0.7052896725440806
KNN,2.1,67,25,1169,8169,0.010956021485254493,1.4389140605926514,0.00552669811461084,1.4415948390960693,0.062173906087257313,1.4946951866149902,float64,0.9163346613545816,0.7272727272727273,0.5970149253731343,0.6557377049180327
SVM,2.1,10,11,3900,8169,0.0008112691826528968,1.4307990074157715,0.695488429293699,2.075148105621338,0.24772055182180977,1.7032811641693115,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
Random Forest,2.2,93,28,3900,2451,0.025889165808387092,1.455423355102539,0.8064561176907343,2.626833915710449,0.11794239271526756,1.5205037593841553,float64,0.9760765550239234,1.0,0.8214285714285714,0.9019607843137255
Bagging Classifier,2.1,124,17,2340,8169,0.010365587465749108,1.434948205947876,0.28026560672981765,1.7676830291748047,0.04252692632354806,1.4626109600067139,float64,0.9581256231306082,0.8898305084745762,0.7835820895522388,0.8333333333333334
Decision Tree,2.2,40,23,3900,8169,0.0008950366854774832,1.4296190738677979,0.16944870724939778,1.5705971717834473,0.04457601458028739,1.4755010604858398,float64,0.9641148325358851,0.8796296296296297,0.8482142857142857,0.8636363636363636
AdaBoost,2.1,109,26,389,8169,0.01029530294978087,1.4539949893951416,0.09304918164831506,1.5326969623565674,0.023498540863879272,1.4527289867401123,float64,0.9583333333333334,0.9,0.782608695652174,0.8372093023255814
SVM,2.1,6,12,1559,8169,0.009994472877143928,1.450807809829712,0.06637187276057624,1.5208990573883057,0.5185915030667472,1.4598667621612549,float64,0.828101644245142,0.4358974358974359,0.9444444444444444,0.5964912280701755
SVM,2.2,19,28,3900,7352,0.024837563110747418,1.454158067703247,1.0827031235585518,2.002612829208374,0.2562945996917339,1.708449125289917,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
Bagging Classifier,2.1,127,2,1169,8169,0.01824652430293104,1.4346370697021484,0.1500385591918033,1.5681607723236084,0.04782391104511816,1.447157859802246,float64,0.9442231075697212,0.8305084745762712,0.7313432835820896,0.7777777777777778
SVM,2.2,19,12,3900,7352,0.05100497842916113,1.4420206546783447,0.6527218228165098,2.0040719509124756,0.24781095938623987,1.6982648372650146,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
KNN,2.1,69,13,389,8169,0.007780626364036264,1.4486660957336426,0.003745716877970924,1.4308209419250488,0.021550352954128403,1.4404737949371338,float64,0.8571428571428571,0.46153846153846156,0.2608695652173913,0.33333333333333337
SVM,2.1,1,23,3509,8169,0.009915529756502789,1.427565097808838,0.4009930887149224,1.9103519916534424,0.17995425056493408,1.6711821556091309,float64,0.8046511627906977,0.3986784140969163,0.8960396039603961,0.551829268292683
Decision Tree,2.1,27,1,1169,8169,0.009848869518220692,1.4430620670318604,0.039859335283398474,1.4451899528503418,0.0304213518066211,1.4310798645019531,float64,0.954183266932271,0.84375,0.8059701492537313,0.8244274809160305
Random Forest,2.2,92,29,3900,1633,0.027239025701151658,1.4464781284332275,1.5855210525940473,2.415944814682007,0.23361770687508426,1.506227970123291,float64,0.9742822966507177,0.994535519125683,0.8125,0.8943488943488943
Bagging Classifier,2.1,127,24,1169,8169,0.010946526708750851,1.4243178367614746,0.18173603458386095,1.5556719303131104,0.03761234162560679,1.4712820053100586,float64,0.952191235059761,0.8771929824561403,0.746268656716418,0.8064516129032258
Decision Tree,2.1,27,12,1169,8169,0.01146280902536718,1.4480798244476318,0.025840961315524144,1.4528136253356934,0.01657696051226804,1.4515101909637451,float64,0.952191235059761,0.8307692307692308,0.8059701492537313,0.8181818181818182
Decision Tree,2.2,35,25,3900,4084,0.016732165387349618,1.4575879573822021,0.09273519677560714,1.532289981842041,0.05371500114204335,1.5039658546447754,float64,0.9635167464114832,0.8687782805429864,0.8571428571428571,0.8629213483146068
SVM,2.1,1,4,3509,8169,0.006762757211147688,1.4181478023529053,0.45982755911152035,1.9305472373962402,0.20345491861846812,1.661372184753418,float64,0.8046511627906977,0.3986784140969163,0.8960396039603961,0.551829268292683
KNN,2.2,78,7,3900,6535,0.016777835700076463,1.472395896911621,0.011463177780023153,1.4391560554504395,0.35432476573094546,1.7462139129638672,float64,0.8893540669856459,0.975609756097561,0.17857142857142858,0.30188679245283023
SVM,2.1,10,21,3900,8169,0.000907615688999653,1.406635046005249,0.5594352380867004,2.050004005432129,0.22729356441578993,1.6956729888916016,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
Decision Tree,2.2,36,12,3900,4901,0.029423222032165755,1.4568920135498047,0.07699786122150824,1.541571855545044,0.0695404978936883,1.5103559494018555,float64,0.9611244019138756,0.8697674418604651,0.8348214285714286,0.8519362186788154
Random Forest,2.2,92,22,3900,1633,0.025830700462154178,1.4531059265136719,0.8897589905233084,2.439077854156494,0.09985380582500761,1.519524097442627,float64,0.9766746411483254,0.9894179894179894,0.8348214285714286,0.9055690072639224
SVM,2.2,17,29,3900,5718,0.02606172510837,1.4393939971923828,0.48366343547149504,1.9888050556182861,0.17406014391888697,1.6923019886016846,float64,0.8283492822966507,0.4319654427645788,0.8928571428571429,0.5822416302765647
Random Forest,2.1,85,29,1950,8169,0.007777040941624977,1.451108694076538,0.525352306218308,2.2722160816192627,0.05609867150248781,1.4933300018310547,float64,0.972488038277512,1.0,0.7946428571428571,0.8855721393034826
KNN,2.1,63,13,2730,8169,0.006788571008751498,1.4359078407287598,0.006075417917535553,1.4334349632263184,0.0,1.588435173034668,float64,0.9136752136752136,0.7121212121212122,0.5987261146496815,0.6505190311418685
AdaBoost,2.1,102,0,3119,8169,0.010302757308146917,1.422043800354004,0.5678069242114269,2.155949831008911,0.057547682501816265,1.4976871013641357,float64,0.9633781763826607,0.9281045751633987,0.7888888888888889,0.8528528528528527
AdaBoost,2.2,118,2,3900,6535,0.024024467317210196,1.4786970615386963,0.6014544736520039,2.159965991973877,0.08343183396350017,1.516164779663086,float64,0.9683014354066986,0.9130434782608695,0.84375,0.8770301624129929
Random Forest,2.2,97,21,3900,5718,0.017723244660234404,1.441999912261963,1.5964527953747791,3.040444850921631,0.0912965157407815,1.5282018184661865,float64,0.979066985645933,1.0,0.84375,0.9152542372881356
